juego,sorteo,fecha,n1,n2,n3,n4,n5,superbalota,page,detail_url
REVANCHA,2513,14 de Junio de 2025,8,9,21,27,33,2,23,https://www.baloto.com/resultados-revancha/2513
BALOTO,2512,11 de Junio de 2025,1,2,5,21,33,7,24,https://www.baloto.com/resultados-baloto/2512
REVANCHA,2512,11 de Junio de 2025,11,21,23,30,34,5,24,https://www.baloto.com/resultados-revancha/2512
BALOTO,2511,9 de Junio de 2025,2,13,17,21,34,9,24,https://www.baloto.com/resultados-baloto/2511
REVANCHA,2511,9 de Junio de 2025,10,28,31,32,42,10,24,https://www.baloto.com/resultados-revancha/2511
BALOTO,2510,7 de Junio de 2025,6,9,21,36,42,9,24,https://www.baloto.com/resultados-baloto/2510
REVANCHA,2510,7 de Junio de 2025,3,26,27,29,30,15,24,https://www.baloto.com/resultados-revancha/2510
BALOTO,2509,4 de Junio de 2025,26,29,33,35,41,5,24,https://www.baloto.com/resultados-baloto/2509
REVANCHA,2509,4 de Junio de 2025,2,10,27,31,33,10,24,https://www.baloto.com/resultados-revancha/2509
BALOTO,2508,2 de Junio de 2025,2,18,27,31,35,12,24,https://www.baloto.com/resultados-baloto/2508
REVANCHA,2508,2 de Junio de 2025,15,23,26,31,39,9,24,https://www.baloto.com/resultados-revancha/2508
BALOTO,2507,31 de Mayo de 2025,2,8,16,28,31,15,25,https://www.baloto.com/resultados-baloto/2507
REVANCHA,2507,31 de Mayo de 2025,2,13,34,36,41,7,25,https://www.baloto.com/resultados-revancha/2507
BALOTO,2506,28 de Mayo de 2025,1,9,10,33,37,15,25,https://www.baloto.com/resultados-baloto/2506
REVANCHA,2506,28 de Mayo de 2025,1,11,22,28,40,1,25,https://www.baloto.com/resultados-revancha/2506
